Rk,Team,Date,SO,Wind Speed,Temp,Unnamed: 6,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR
1,HOU,2025-05-28,18,0,73,,ATH,"W, 5-3",9.0,6,3,3,0,1,3,0,18,0,0,0,36,9
2,BAL,2025-05-28,16,8,61,,STL,"L, 4-6",9.0,12,6,6,0,1,5,0,16,0,0,1,43,17
3,SFG,2025-05-28,16,7,58,@,DET,"L, 3-4",8.0,7,4,1,3,0,2,0,16,2,0,0,36,12
4,ATL,2025-05-30,14,12,75,,BOS,"L, 1-5",9.0,11,5,5,0,1,2,0,14,0,0,0,40,13
5,CHW,2025-05-28,14,8,63,@,NYM,"W, 9-4",9.0,5,4,4,0,1,8,0,14,2,0,0,42,15
6,SDP,2025-05-30,14,9,68,,PIT,"W, 3-2",9.0,7,2,2,0,0,2,0,14,0,0,0,35,9
7,LAA,2025-05-28,13,8,65,,NYY,"L, 0-1",9.0,7,1,1,0,0,5,2,13,0,0,0,38,12
8,LAD,2025-05-27,13,11,68,@,CLE,"W, 9-5",9.0,7,5,5,0,1,2,0,13,0,0,1,35,9
9,MIL,2025-05-28,13,0,66,,BOS,"W, 6-5 (10)",10.0,9,5,4,1,2,5,1,13,1,0,1,45,16
10,PHI,2025-05-30,13,7,75,,MIL,"L, 2-6",9.0,12,6,6,0,2,4,0,13,0,0,0,43,16
11,SFG,2025-05-27,13,14,70,@,DET,"L, 1-3",8.0,7,3,3,0,1,1,0,13,0,0,0,32,8
12,TOR,2025-05-29,13,0,68,,ATH,"W, 12-0",9.0,4,0,0,0,0,2,0,13,0,0,0,32,6
13,TOR,2025-05-28,13,0,74,@,TEX,"W, 2-0",9.0,1,0,0,0,0,3,0,13,0,0,0,31,4
14,ATL,2025-05-29 (2),12,9,71,@,PHI,"W, 9-3",9.0,7,3,3,0,0,4,0,12,1,0,0,39,12
15,BOS,2025-05-26,12,12,62,@,MIL,"L, 2-3",8.0,7,3,3,0,1,4,0,12,0,0,0,35,11
16,CLE,2025-05-27,12,11,68,,LAD,"L, 5-9",9.0,13,9,9,0,3,5,1,12,0,0,0,42,18
17,MIA,2025-05-30,12,0,72,,SFG,"L, 0-2",9.0,11,2,2,0,1,1,0,12,1,0,0,39,13
18,KCR,2025-05-30,12,7,76,,DET,"L, 5-7",9.0,11,7,7,0,3,3,0,12,0,0,1,41,15
19,ATL,2025-05-27,11,11,69,@,PHI,"L, 0-2",8.0,5,2,2,0,0,7,0,11,1,0,0,36,13
20,CHC,2025-05-28,11,7,56,,COL,"W, 2-1",9.0,6,1,0,1,0,0,0,11,0,0,0,31,6
21,HOU,2025-05-29,11,0,73,,TBR,"L, 3-13",9.0,14,13,13,0,1,6,0,11,3,0,3,50,23
22,KCR,2025-05-27,11,6,63,,CIN,"L, 2-7",9.0,10,7,7,0,3,6,1,11,0,0,1,40,16
23,NYM,2025-05-30,11,9,66,,COL,"W, 4-2",9.0,6,2,2,0,1,1,0,11,1,0,0,35,8
24,NYY,2025-05-27,11,10,68,@,LAA,"W, 3-2",9.0,8,2,2,0,1,0,0,11,0,0,0,35,8
25,NYY,2025-05-26,11,2,68,@,LAA,"W, 5-1",9.0,5,1,1,0,1,2,0,11,0,0,0,34,7
26,PHI,2025-05-27,11,11,69,,ATL,"W, 2-0",9.0,5,0,0,0,0,4,0,11,0,0,0,37,10
27,PIT,2025-05-28,11,0,76,@,ARI,"W, 10-1",9.0,6,1,1,0,1,1,0,11,1,0,0,36,9
28,SFG,2025-05-30,11,0,72,@,MIA,"W, 2-0",9.0,3,0,0,0,0,7,0,11,1,0,1,37,11
29,STL,2025-05-27,11,6,64,@,BAL,"W, 7-4",9.0,8,4,3,1,1,3,0,11,0,1,1,39,11
30,WSN,2025-05-29,11,9,63,@,SEA,"W, 9-3 (10)",10.0,7,3,2,1,0,3,0,11,2,0,2,40,12
31,BAL,2025-05-26,10,2,72,,STL,"W, 5-2",9.0,4,2,2,0,1,2,0,10,1,0,0,33,7
32,CLE,2025-05-30,10,6,66,,LAA,"L, 1-4",9.0,13,4,4,0,1,4,0,10,0,0,0,42,17
33,DET,2025-05-30,10,7,76,@,KCR,"W, 7-5",9.0,12,5,5,0,1,5,1,10,0,0,0,43,17
34,DET,2025-05-27,10,14,70,,SFG,"W, 3-1",9.0,6,1,1,0,0,1,0,10,1,0,0,33,8
35,HOU,2025-05-27,10,0,73,,ATH,"W, 11-1",9.0,7,1,1,0,1,0,0,10,0,0,0,31,7
36,MIL,2025-05-27,10,0,69,,BOS,"W, 5-1 (10)",10.0,7,1,1,0,0,2,0,10,0,0,1,38,9
37,NYM,2025-05-27,10,7,68,,CHW,"W, 6-4",9.0,8,4,4,0,1,5,0,10,1,0,0,40,14
38,PIT,2025-05-27,10,0,76,@,ARI,"W, 9-6",9.0,8,6,5,1,1,2,0,10,1,0,0,39,12
39,TBR,2025-05-27,10,9,89,,MIN,"L, 2-4",9.0,7,4,3,1,1,1,0,10,1,0,0,36,9
40,TEX,2025-05-30,10,7,81,,STL,"W, 11-1",9.0,5,1,1,0,0,2,0,10,1,0,3,34,8
41,ARI,2025-05-28,9,0,76,,PIT,"L, 1-10",9.0,11,10,9,1,1,3,0,9,0,0,0,42,15
42,BAL,2025-05-30,9,1,74,,CHW,"W, 2-1",9.0,6,1,1,0,0,2,0,9,0,0,0,33,8
43,BAL,2025-05-27,9,6,64,,STL,"L, 4-7",9.0,14,7,7,0,2,2,0,9,0,0,0,42,16
44,CHC,2025-05-26,9,6,56,,COL,"W, 3-1",9.0,5,1,1,0,1,2,0,9,0,0,0,33,7
45,CIN,2025-05-30,9,8,70,@,CHC,"W, 6-2",9.0,6,2,2,0,0,2,0,9,0,0,0,34,8
46,COL,2025-05-27,9,12,59,@,CHC,"L, 3-4 (11)",10.1,10,4,3,1,0,4,1,9,0,0,0,44,14
47,HOU,2025-05-30,9,0,73,,TBR,"W, 2-1",9.0,3,1,1,0,1,1,0,9,0,0,1,29,4
48,LAD,2025-05-28,9,8,59,@,CLE,"L, 4-7",8.0,15,7,7,0,1,4,1,9,0,1,0,40,19
49,MIN,2025-05-27,9,9,89,@,TBR,"W, 4-2",9.0,6,2,2,0,0,2,0,9,1,1,0,34,9
50,SDP,2025-05-26,9,8,66,,MIA,"W, 4-3 (11)",11.0,7,3,3,0,1,2,0,9,0,0,0,40,9
51,STL,2025-05-28,9,8,61,@,BAL,"W, 6-4",9.0,12,4,4,0,0,2,0,9,0,0,0,41,14
52,TEX,2025-05-28,9,0,74,,TOR,"L, 0-2",9.0,8,2,2,0,1,3,0,9,0,0,0,37,11
53,ARI,2025-05-30,8,0,76,,WSN,"L, 7-9",9.0,11,9,7,2,2,6,0,8,0,0,0,43,17
54,ARI,2025-05-27,8,0,76,,PIT,"L, 6-9",9.0,12,9,8,1,2,5,0,8,1,0,0,45,19
55,BOS,2025-05-30,8,12,75,@,ATL,"W, 5-1",9.0,6,1,1,0,0,3,0,8,1,0,0,37,10
56,BOS,2025-05-27,8,0,69,@,MIL,"L, 1-5 (10)",9.1,7,5,4,1,1,4,0,8,2,0,0,40,13
57,CHC,2025-05-27,8,12,59,,COL,"W, 4-3 (11)",11.0,7,3,2,1,1,3,0,8,1,0,0,42,11
58,CHW,2025-05-30,8,1,74,@,BAL,"L, 1-2",8.0,7,2,2,0,0,1,0,8,1,0,0,32,9
59,CHW,2025-05-26,8,6,73,@,NYM,"L, 1-2",8.1,7,2,2,0,0,4,2,8,1,0,0,37,12
60,CLE,2025-05-26,8,6,63,,LAD,"L, 2-7",9.0,8,7,7,0,2,8,0,8,0,1,0,42,16
61,COL,2025-05-26,8,6,56,@,CHC,"L, 1-3",8.0,4,3,2,1,0,4,0,8,0,0,0,33,8
62,DET,2025-05-28,8,7,58,,SFG,"W, 4-3",9.0,10,3,3,0,1,4,0,8,0,0,0,40,14
63,KCR,2025-05-26,8,13,64,,CIN,"L, 4-7",9.0,14,7,7,0,1,3,0,8,0,0,1,45,18
64,LAD,2025-05-26,8,6,63,@,CLE,"W, 7-2",9.0,6,2,2,0,0,3,0,8,0,0,1,36,10
65,MIN,2025-05-30,8,9,72,@,SEA,"W, 12-6 (10)",10.0,9,6,6,0,3,1,0,8,0,0,0,39,10
66,NYY,2025-05-28,8,8,65,@,LAA,"W, 1-0",9.0,5,0,0,0,0,2,0,8,0,0,1,33,7
67,PHI,2025-05-29 (1),8,6,67,,ATL,"W, 5-4",9.0,13,4,4,0,1,5,0,8,0,0,0,42,18
68,SEA,2025-05-29,8,9,63,,WSN,"L, 3-9 (10)",10.0,12,9,7,2,1,4,1,8,0,0,1,44,16
69,SFG,2025-05-26,8,7,67,@,DET,"L, 1-3",8.0,7,3,3,0,0,4,1,8,0,0,1,34,11
70,STL,2025-05-26,8,2,72,@,BAL,"L, 2-5",8.0,10,5,3,2,1,1,0,8,1,0,0,36,12
71,TBR,2025-05-30,8,0,73,@,HOU,"L, 1-2",8.2,7,2,2,0,1,1,0,8,0,0,0,32,8
72,TEX,2025-05-27,8,0,74,,TOR,"W, 2-0",9.0,4,0,0,0,0,6,1,8,1,0,0,38,11
73,TOR,2025-05-30,8,5,64,,ATH,"W, 11-7",9.0,10,7,7,0,2,4,0,8,1,0,0,38,15
74,TOR,2025-05-27,8,0,74,@,TEX,"L, 0-2",8.0,6,2,1,1,0,2,1,8,0,0,0,31,9
75,WSN,2025-05-27,8,11,69,@,SEA,"L, 1-9",8.0,12,9,8,1,3,4,0,8,1,0,2,41,17
76,LAA,2025-05-27,7,10,68,,NYY,"L, 2-3",9.0,6,3,2,1,2,5,1,7,0,0,1,38,12
77,LAA,2025-05-26,7,2,68,,NYY,"L, 1-5",9.0,6,5,4,1,0,3,0,7,1,0,0,38,10
78,ATL,2025-05-29 (1),7,6,67,@,PHI,"L, 4-5",8.0,10,5,4,1,2,4,0,7,2,0,0,38,16
79,CHC,2025-05-30,7,8,70,,CIN,"L, 2-6",9.0,10,6,6,0,3,4,0,7,0,0,0,38,14
80,CLE,2025-05-28,7,8,59,,LAD,"W, 7-4",9.0,7,4,4,0,0,2,0,7,0,0,2,35,9
81,MIA,2025-05-26,7,8,66,@,SDP,"L, 3-4 (11)",10.1,5,4,1,3,1,5,1,7,0,0,2,41,11
82,MIL,2025-05-26,7,12,62,,BOS,"W, 3-2",9.0,7,2,2,0,0,7,1,7,0,0,0,39,14
83,MIN,2025-05-28,7,8,89,@,TBR,"L, 0-5",8.0,8,5,5,0,2,3,0,7,0,1,1,34,11
84,ATH,2025-05-27,7,0,73,@,HOU,"L, 1-11",8.0,13,11,11,0,4,2,0,7,0,0,0,39,15
85,PHI,2025-05-29 (2),7,9,71,,ATL,"L, 3-9",9.0,8,9,9,0,2,8,0,7,0,0,0,43,16
86,SEA,2025-05-30,7,9,72,,MIN,"L, 6-12 (10)",10.0,14,12,11,1,4,4,0,7,0,0,1,48,18
87,STL,2025-05-30,7,7,81,@,TEX,"L, 1-11",8.0,15,11,10,1,2,3,0,7,1,0,1,42,20
88,TBR,2025-05-29,7,0,73,@,HOU,"W, 13-3",9.0,8,3,3,0,2,0,0,7,0,0,0,35,9
89,TBR,2025-05-28,7,8,89,,MIN,"W, 5-0",9.0,6,0,0,0,0,1,0,7,1,0,0,34,8
90,CHW,2025-05-27,6,7,68,@,NYM,"L, 4-6",8.0,12,6,6,0,2,1,0,6,1,0,0,38,14
91,LAD,2025-05-30,6,6,76,,NYY,"W, 8-5",9.0,9,5,5,0,4,4,0,6,1,0,0,40,14
92,MIN,2025-05-26,6,12,89,@,TBR,"L, 2-7",8.0,13,7,7,0,2,1,0,6,0,0,0,37,14
93,NYM,2025-05-28,6,8,63,,CHW,"L, 4-9",9.0,12,9,7,2,1,6,0,6,0,0,0,47,19
94,NYM,2025-05-26,6,6,73,,CHW,"W, 2-1",9.0,4,1,1,0,0,7,0,6,0,1,0,38,11
95,SDP,2025-05-27,6,7,64,,MIA,"W, 8-6",9.0,10,6,6,0,0,3,0,6,0,0,0,40,14
96,SEA,2025-05-28,6,9,78,,WSN,"L, 0-9",9.0,12,9,9,0,4,4,0,6,1,0,0,43,18
97,TBR,2025-05-26,6,12,89,,MIN,"W, 7-2",9.0,5,2,2,0,1,0,0,6,1,0,0,31,6
98,TOR,2025-05-26,6,0,74,@,TEX,"W, 2-1",9.0,5,1,1,0,1,0,0,6,0,0,0,32,5
99,LAA,2025-05-30,5,6,66,@,CLE,"W, 4-1",9.0,6,1,1,0,0,7,0,5,0,0,0,37,13
100,ARI,2025-05-26,5,0,76,,PIT,"W, 5-0",9.0,6,0,0,0,0,2,0,5,0,0,0,35,9
101,BOS,2025-05-28,5,0,66,@,MIL,"L, 5-6 (10)",9.1,8,6,3,3,1,5,1,5,0,0,0,43,14
102,CIN,2025-05-28,5,3,72,@,KCR,"L, 2-3",8.0,8,3,3,0,0,4,0,5,0,0,1,34,12
103,CIN,2025-05-27,5,6,63,@,KCR,"W, 7-2",9.0,8,2,2,0,0,1,0,5,1,0,0,36,10
104,COL,2025-05-30,5,9,66,@,NYM,"L, 2-4",8.0,9,4,4,0,3,0,0,5,0,0,0,31,9
105,MIA,2025-05-27,5,7,64,@,SDP,"L, 6-8",8.0,13,8,6,2,2,4,0,5,0,0,0,43,18
106,KCR,2025-05-28,5,3,72,,CIN,"W, 3-2",9.0,9,2,2,0,0,2,0,5,0,0,0,37,11
107,ATH,2025-05-28,5,0,73,@,HOU,"L, 3-5",8.0,7,5,4,1,1,4,0,5,1,0,0,37,13
108,SDP,2025-05-28,5,7,65,,MIA,"L, 8-10",9.0,13,10,7,3,3,1,0,5,1,0,1,41,15
109,SEA,2025-05-27,5,11,69,,WSN,"W, 9-1",9.0,4,1,1,0,1,1,0,5,0,0,0,30,5
110,WSN,2025-05-30,5,0,76,@,ARI,"W, 9-7",9.0,12,7,7,0,0,3,0,5,1,0,0,40,16
111,CIN,2025-05-26,4,13,64,@,KCR,"W, 7-4",9.0,7,4,4,0,1,1,0,4,1,1,0,35,9
112,DET,2025-05-26,4,7,67,,SFG,"W, 3-1",9.0,5,1,1,0,0,3,0,4,0,0,0,34,8
113,MIL,2025-05-30,4,7,75,@,PHI,"W, 6-2",9.0,4,2,2,0,1,1,0,4,0,0,0,32,5
114,NYY,2025-05-30,4,6,76,@,LAD,"L, 5-8",8.0,12,8,8,0,2,2,1,4,0,1,0,37,15
115,ATH,2025-05-30,4,5,64,@,TOR,"L, 7-11",8.0,15,11,11,0,2,11,1,4,0,0,0,49,26
116,WSN,2025-05-28,4,9,78,@,SEA,"W, 9-0",9.0,5,0,0,0,0,0,0,4,0,0,0,31,5
117,COL,2025-05-28,3,7,56,@,CHC,"L, 1-2",8.0,6,2,2,0,1,3,0,3,0,0,0,30,9
118,MIA,2025-05-28,3,7,65,@,SDP,"W, 10-8",9.0,9,8,8,0,1,5,0,3,0,0,0,39,14
119,ATH,2025-05-29,3,0,68,@,TOR,"L, 0-12",8.0,18,12,12,0,4,5,0,3,0,0,0,47,23
120,PIT,2025-05-30,3,9,68,@,SDP,"L, 2-3",8.0,3,3,3,0,0,2,0,3,0,0,0,29,5
121,PIT,2025-05-26,3,0,76,@,ARI,"L, 0-5",8.0,10,5,5,0,2,4,0,3,0,0,0,37,14
122,TEX,2025-05-26,1,0,74,,TOR,"L, 1-2",9.0,8,2,2,0,1,4,0,1,0,0,0,39,12
