GameDate,AwayTeam,HomeTeam,AwayPitcher,HomePitcher,AwayPitcherID,HomePitcherID
"Monday, May 26, 2025",TOR,TEX,Kevin Gausman,Jacob deGrom,32667,32796
"Monday, May 26, 2025",CHW,NYM,Adrian Houser,Clay Holmes,32157,32827
"Monday, May 26, 2025",CIN,KC,Nick Martinez,Michael Lorenzen,33372,33252
"Monday, May 26, 2025",LAD,CLE,Yoshinobu Yamamoto,Gavin Williams,4872587,4345076
"Monday, May 26, 2025",MIN,TB,Chris Paddack,Zack Littell,35999,36052
"Monday, May 26, 2025",PIT,ARI,Andrew Heaney,Ryne Nelson,32672,4916269
"Monday, May 26, 2025",MIA,SD,Ryan Weathers,Randy Vasquez,41178,4722847
"Monday, May 26, 2025",NYY,LAA,Ryan Yarbrough,Jack Kochanowicz,33735,4917819
"Monday, May 26, 2025",SF,DET,Undecided,Undecided,,
"Monday, May 26, 2025",BOS,MIL,Undecided,Undecided,,
"Monday, May 26, 2025",COL,CHC,Undecided,Undecided,,
"Monday, May 26, 2025",STL,BAL,Undecided,Undecided,,
"Tuesday, May 27, 2025",LAD,CLE,Dustin May,Tanner Bibee,40937,4345278
"Tuesday, May 27, 2025",STL,BAL,Andre Pallante,Tomoyuki Sugano,4109034,4142423
"Tuesday, May 27, 2025",SF,DET,Logan Webb,Jack Flaherty,41216,33837
"Tuesday, May 27, 2025",ATL,PHI,Spencer Strider,Ranger Suarez,4307825,39817
"Tuesday, May 27, 2025",MIN,TB,Joe Ryan,Taj Bradley,42450,42480
"Tuesday, May 27, 2025",CHW,NYM,Shane Smith,Tylor Megill,5201814,3332018
"Tuesday, May 27, 2025",BOS,MIL,Undecided,Aaron Civale,,40934
"Tuesday, May 27, 2025",CIN,KC,Brady Singer,Undecided,41172,
"Tuesday, May 27, 2025",COL,CHC,German Marquez,Cade Horton,34874,4692526
"Tuesday, May 27, 2025",TOR,TEX,Bowden Francis,Nathan Eovaldi,4734325,31174
"Tuesday, May 27, 2025",ATH,HOU,JP Sears,Hunter Brown,39818,4717803
"Tuesday, May 27, 2025",NYY,LAA,Carlos Rodon,Tyler Anderson,33696,32151
"Tuesday, May 27, 2025",MIA,SD,Max Meyer,Stephen Kolek,4345164,5190073
"Tuesday, May 27, 2025",PIT,ARI,Mike Burrows,Corbin Burnes,4918155,39878
"Tuesday, May 27, 2025",WSH,SEA,Mitchell Parker,Logan Evans,4683356,5202474
"Wednesday, May 28, 2025",LAD,CLE,Clayton Kershaw,Slade Cecconi,28963,41462
"Wednesday, May 28, 2025",SF,DET,Landen Roupp,Jackson Jobe,4345404,4872647
"Wednesday, May 28, 2025",BOS,MIL,Brayan Bello,Freddy Peralta,4720856,39825
"Wednesday, May 28, 2025",MIN,TB,Pablo Lopez,Drew Rasmussen,39671,42584
"Wednesday, May 28, 2025",ATH,HOU,Luis Severino,Lance McCullers Jr.,33263,32764
"Wednesday, May 28, 2025",PIT,ARI,Paul Skenes,Zac Gallen,4719507,39910
"Wednesday, May 28, 2025",MIA,SD,Sandy Alcantara,Nick Pivetta,35241,36071
"Wednesday, May 28, 2025",STL,BAL,Miles Mikolas,Cade Povich,32116,5085743
"Wednesday, May 28, 2025",ATL,PHI,AJ Smith-Shawver,Zack Wheeler,4917640,31267
"Wednesday, May 28, 2025",CHW,NYM,Sean Burke,Griffin Canning,4867679,41065
"Wednesday, May 28, 2025",CIN,KC,Hunter Greene,Noah Cameron,39635,4417208
"Wednesday, May 28, 2025",COL,CHC,Tanner Gordon,Matthew Boyd,4415658,34401
"Wednesday, May 28, 2025",TOR,TEX,Eric Lauer,Tyler Mahle,39915,34973
"Wednesday, May 28, 2025",NYY,LAA,Clarke Schmidt,Yusei Kikuchi,41085,41415
"Wednesday, May 28, 2025",WSH,SEA,Trevor Williams,George Kirby,33305,42406
